title,style,F-measure,Cemgil,Cemgil Best Metric Level,Goto,P-score,Correct Metric Level Continuous,Correct Metric Level Total,Any Metric Level Continuous,Any Metric Level Total,Information gain
Media-105901,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albums-Step_By_Step-04,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104202,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104203,Waltz,0.4,0.3713595442104976,0.3713595442104976,0.0,0.5897435897435898,0.10256410256410256,0.28205128205128205,0.10256410256410256,0.28205128205128205,0.25276489460855023
Media-105902,Waltz,0.0,0.0001924471515817261,0.02870789140731601,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.14654468171642734
Media-104201,Waltz,0.631578947368421,0.6123762725502977,0.6123762725502977,0.0,0.5277777777777778,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.4633020359310409
Media-104604,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albums-Step_By_Step-02,Waltz,0.3076923076923077,0.23070696214593633,0.24037629118284992,0.0,0.21621621621621623,0.02702702702702703,0.02702702702702703,0.0684931506849315,0.1232876712328767,0.25227826224462124
Media-104402,Waltz,0.05128205128205128,0.04526257651904375,0.0840473240556762,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.1218915923428517
Media-104204,Waltz,0.4358974358974359,0.4302577725737937,0.4302577725737937,0.0,0.5238095238095238,0.19047619047619047,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.2837242034414004
Media-104205,Waltz,0.16438356164383564,0.1491171614952195,0.5194359011933958,0.0,0.16216216216216217,0.08108108108108109,0.10810810810810811,0.6666666666666666,0.6666666666666666,0.3584093600385668
Albums-Step_By_Step-03,Waltz,0.37037037037037035,0.34037252649439903,0.34037252649439903,0.0,0.2972972972972973,0.02702702702702703,0.05405405405405406,0.05555555555555555,0.15789473684210525,0.16064304152823086
Media-104403,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104601,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104603,Waltz,0.3018867924528302,0.2997437175711999,0.2997437175711999,0.0,0.3333333333333333,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.08333333333333333,0.25415439830731124
Media-104401,Waltz,0.21428571428571427,0.21115932252702943,0.21115932252702943,0.0,0.19444444444444445,0.027777777777777776,0.05555555555555555,0.2,0.2,0.2606100441402261
Albums-Step_By_Step-01,Waltz,0.28125000000000006,0.241866819334563,0.2675591221809626,0.0,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.08571428571428572,0.2857142857142857,0.23601876300150518
Albums-Commitments-11,Waltz,0.4166666666666667,0.26223216365865537,0.4340394432970847,0.0,0.2972972972972973,0.0,0.0,0.2222222222222222,0.3333333333333333,0.3057016655061598
Media-104602,Waltz,0.08888888888888888,0.0704272626809762,0.07762986664607269,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.1385996255974309
Media-100601,Waltz,0.3448275862068966,0.310660928361002,0.3233218292697696,0.0,0.3611111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16982555178442027
Media-104301,Waltz,0.2727272727272727,0.20300289039805305,0.2295930252901931,0.0,0.3611111111111111,0.05555555555555555,0.08333333333333333,0.14285714285714285,0.2,0.19245470930531675
Media-105802,Waltz,0.31428571428571433,0.2876102339586819,0.2876102339586819,0.0,0.4444444444444444,0.05555555555555555,0.1388888888888889,0.14285714285714285,0.17142857142857143,0.19193692789433012
Media-104705,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104704,Waltz,0.5652173913043478,0.41937296289379405,0.41937296289379405,0.0,0.3939393939393939,0.12121212121212122,0.15151515151515152,0.12121212121212122,0.15151515151515152,0.28882065926555367
Media-105803,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104302,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-100602,Waltz,0.44000000000000006,0.39819251735796857,0.39819251735796857,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,0.3972065748468754
Media-105801,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104504,Waltz,0.04081632653061225,0.05193786940907318,0.117844537608246,0.0,0.1388888888888889,0.0,0.0,0.3333333333333333,0.3333333333333333,0.132261170745015
Media-104303,Waltz,0.1904761904761905,0.14943077925620893,0.26150386369836565,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.13617510331426386
Media-100603,Waltz,0.3018867924528302,0.2348238693345794,0.2348238693345794,0.0,0.2777777777777778,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.23341524150298437
Albums-Chrisanne2-01,Waltz,0.10256410256410256,0.05201142757251713,0.05926669462703029,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.22989620211493217
Albums-Ballroom_Magic-18,Waltz,0.25,0.2082208157613431,0.2950510703692202,0.0,0.417910447761194,0.0,0.0,0.1780821917808219,0.3150684931506849,0.11227684680364151
Media-105804,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104501,Waltz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media-104703,Waltz,0.26666666666666666,0.24851716410410074,0.24851716410410074,0.0,0.37142857142857144,0.05714285714285714,0.11428571428571428,0.08823529411764706,0.17647058823529413,0.19595464516549924
Media-104702,Waltz,0.2903225806451613,0.2386785630791536,0.30051201518265314,0.0,0.24324324324324326,0.0,0.0,0.04,0.0684931506849315,0.12853616333282128
